business_name,website,phone,email,owner_name,suburb,services,has_contact_form,has_live_chat,mentions_24_7,response_promise,lead_source_mentions,google_rating,google_reviews,reviews_last_90d,replies_to_reviews,responsiveness_complaints,call_test_result,form_test_result,leak_estimate_monthly,notes
Attwood Electrical,https://attwoodelectrical.com.au/,(02) 4244 1332,,,Wollongong,"Residential Electrical; Commercial Electrical; Air Conditioner Installation; Security, CCTV & Intercom; Data & Communication; Under Floor Heating; Metering, Overhead / Underground Connections; Thermal Imaging and RCD Testing; Level 2 Electrician Wollongong",True,False,True,we will be in contact shortly,,5,78,,,,,,,
Easther Electrical,https://www.eastherelectrical.com.au/,02 4256 5899,,Doug,Wollongong,Residential Electrician; Commercial Electrician; Emergency Electrician; Level 2 Contestable; Solar PV & Battery; Data & Communication; EV Charger Installation; Industrial; Maintenance; Asset Management; Renovation Electrician; Specialised Services,True,True,True,a member of our team will get back to you as soon as possible,,4.8,56,,,,,,,
Curran Plumbing and Electrical,https://callcurran.com.au/electrical-services/electrician-wollongong/,1300 792 082,,,Wollongong,General Electrical Services; Residential Electrical Services; Commercial Electrical Services; Emergency & After-Hours Electrical Services; Fault Detection; Surge Protection; Ceiling Fans; Power Points; Smoke Alarms; Lighting,True,False,True,Same day service at a time that is convenient to you.,,,,,,,,,,
Stuart Johnston Electrical,https://www.stuartjohnstonelectrical.com.au/service/level-2-providers/,0418 422 182,,Stuart Johnston,Wollongong,"Overhead Service Connections; Underground Connections; Solar Generation Grid Metering; Connections Up To 400amps; Metering, Installation & Removal; Customer Defect Repairs; Private Power Pole Installation & Replacement; Smart meter installations; Switchboard installations & upgrades; Disconnections & reconnections; Defect rectifications & compliance upgrades",True,False,True,"One of our friendly professionals will contact you to confirm the time and location, once we receive your enquiry.",,4.9,71,,,,,,,
HOTT Electrics,https://www.hottelectrics.com.au/,0483 961 110,info@hottelectrics.com.au,,Wollongong,Electrical; Solar; Air Conditioning; Repair; Installation; Maintenance; Inspection; Upgrade; Fault Finding; Fitout; Switchboard; RCD Safety Switch; Solar Power,True,False,True,"Fast, reliable service when you need it.",,5,1033,,,,,,,
Illawarra Electrical & Security,https://regionillawarra.com.au/best-electricians-wollongong/1358/,,,,Wollongong,residential electrical; commercial electrical; industrial electrical; emergency electrical; switchboard upgrades; asbestos removal; safety devices and surge protection; security installations; surveillance; data communications; aerial systems; solar systems,False,False,False,,Region Illawarra; Facebook; Google,5,238,,,,,,,
M1&Co Electrical,https://www.m1andco.com.au/services/emergency-electrician-wollongong.html,0455 55 9598,,,Wollongong,Emergency Electrician; Residential Electrical Services; Commercial Electrical Services; Industrial Electrical Services; Emergency Level 2 Electrical Services,True,False,True,,,,,,,,,,,
Allround Electrical,https://www.allroundelectrical.com.au/electrical/emergency-electrician,0405 225 809,,,Shellharbour,Emergency Electrician; Subfloor Ventilation; EV Charger Installation; Smoke Alarms; Indoor LED Lighting; Outdoor Lighting; TV Wall Mounting; Home Theatre Wiring; Switchboard Upgrades; Level 2 Electrician; Sandwich Panelling; New Builds & Renovations; Solar Installation; Access Control Systems; Alarm Systems; CCTV Installation; Custom Security Systems; Data & Network Cabling; Intercom Systems; Keyless Entry Systems; Smart Home Automation,True,False,True,,,,,,,,,,,
NESC Electrical,https://www.nescelectrical.com.au/wollongong,0416 235 574,nick@nescelectrical.com.au,,Wollongong,Residential electrical services; Commercial electrical services; Industrial electrical services; Communication wiring; New electrical installations; Building automation; Room automation; General repairs and maintenance; Emergency electrical services,True,False,True,As soon as possible,,5,66,,,,,,,
Ruttley Services,https://illawarratradies.com.au/electrical-services/,02 4229 8898,,Not specified,Wollongong,Electrical Services; Ceiling Fan Installation; Lighting Installation; Switchboard Upgrades; Smoke Alarms; Appliance Installation; Emergency Electrician,True,False,True,Prompt response for urgent electrical concerns.,,4.8,328,,,,,,,
SEP Electrical Pty Ltd,https://www.sepelectrical.com.au/locations/electrician-shellharbour,0412 614 193,admin@sepelectrical.net.au,,Shellharbour,General Electrical; Level 2 Service Provider; Electrical Switchboards; Home Automation; Solar; Solar Batteries; Repairs & Service; Security Systems; Security Cameras; CCTV Systems; Intercom Systems; Access Control Systems,True,False,True,We will get back to you as soon as possible.,Localsearch; Facebook; Instagram; Google My Business,5,1,,,,,,,
Brownlow Electrical Air Conditioning Refrigeration,https://www.brownlowelectricalandair.com.au/locations/electrician-shellharbour,0417 694 183,ryan@brownlowelectricalandair.com.au,Ryan,Shellharbour,Electrical Services; Air Conditioning Services; Refrigeration Services; Emergency Electrician Services,True,False,True,We will be in touch soon.,,,,,,,,,,
Edge Electrical Co,https://www.edge-electrical.com.au/,0427 484 273,tim@edge-electrical.com.au,Tim,Barrack Heights,Residential electrical installations; Strata electrical work; Commercial electrical work; Power and lighting; LED lighting; Emergency lighting; Switchboard upgrades; Internet and data; Fault finding and repairs,True,False,False,,,,,,,,,,,
